t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
28.77,0.8225727730116059,0.1345055823790423,0.8225727730116059,nominal,nominal,false
28.87,0.8433419752354194,0.11175650981973753,0.8433419752354194,nominal,nominal,false
28.97,0.8659574736714608,0.08791088025123281,0.8659574736714608,nominal,nominal,false
29.07,0.8826348230730965,0.08074625322802653,0.8826348230730965,nominal,nominal,false
29.49,0.9032268951954711,0.056796431980856016,0.9032268951954711,nominal,nominal,false
29.49,0.8887552647688799,0.11888429084819933,0.8887552647688799,nominal,nominal,false
29.57,0.7706539776079893,0.4347621801098909,0.7706539776079893,nominal,nominal,false
29.67,0.7162049334533098,0.37905713077054515,0.7162049334533098,nominal,nominal,false
29.77,0.6981592353763841,0.33237583104309937,0.6981592353763841,nominal,nominal,false
29.88,0.6964877416304674,0.30442617949594186,0.6964877416304674,nominal,nominal,false
29.97,0.7110233819183631,0.25903819704029896,0.7110233819183631,nominal,nominal,false
30.07,0.7321732313837673,0.22443416606241134,0.7321732313837673,nominal,nominal,false
30.17,0.7693350598779578,0.16023132574071938,0.7693350598779578,nominal,nominal,false
30.27,0.8114339526797898,0.11167407276053314,0.8114339526797898,nominal,nominal,false
30.37,0.8544883208708369,0.07032760649116211,0.8544883208708369,nominal,nominal,false
30.47,0.8824956860171669,0.06541245377421974,0.8824956860171669,nominal,nominal,false
30.57,0.8979387485724112,0.06848586856999311,0.8979387485724112,nominal,nominal,false
30.67,0.9002766557636771,0.08430451675870271,0.9002766557636771,nominal,nominal,false
30.77,0.9035773155482402,0.07994102969354716,0.9035773155482402,nominal,nominal,false
30.87,0.9073257359014695,0.07589662810903829,0.9073257359014695,nominal,nominal,false
30.99,0.9150921620467449,0.06340023645915059,0.9150921620467449,nominal,nominal,false
31.07,0.9160815312766957,0.07169268265564345,0.9160815312766957,nominal,nominal,false
31.18,0.9184313841198221,0.06771466807662796,0.9184313841198221,nominal,nominal,false
31.27,0.9260327252514404,0.05384011456828325,0.9260327252514404,nominal,nominal,false
31.37,0.9333988338924885,0.04762887706011241,0.9333988338924885,nominal,nominal,false
31.47,0.932711938602584,0.05897013184742852,0.932711938602584,nominal,nominal,false
31.57,0.9278880182919673,0.06889417882353935,0.9278880182919673,nominal,nominal,false
31.67,0.9264365175123701,0.06563554618212393,0.9264365175123701,nominal,nominal,false
31.77,0.9219946859719794,0.07372375416670507,0.9219946859719794,nominal,nominal,false
31.87,0.9160873072133018,0.08113618606997047,0.9160873072133018,nominal,nominal,false
31.97,0.9139452254574116,0.07792207859790196,0.9139452254574116,nominal,nominal,false
32.07,0.9077938972324716,0.08912842721138321,0.9077938972324716,nominal,nominal,false
32.17,0.8986233727863482,0.1019310544791856,0.8986233727863482,nominal,nominal,false
32.27,0.8956990721406245,0.09588337294773915,0.8956990721406245,nominal,nominal,false
32.37,0.882772558864932,0.12241427508139502,0.882772558864932,nominal,nominal,false
32.47,0.8670046879230275,0.14197483878416303,0.8670046879230275,nominal,nominal,false
32.57,0.8501964093356356,0.16032608094436668,0.8501964093356356,nominal,nominal,false
32.67,0.8333799295019797,0.17750095635967048,0.8333799295019797,nominal,nominal,false
32.77,0.8159857302847012,0.19654664459610593,0.8159857302847012,nominal,nominal,false
32.87,0.799424466672085,0.21285917706107355,0.799424466672085,nominal,nominal,false
32.97,0.7817081343857148,0.234050453441293,0.7817081343857148,nominal,nominal,false
33.07,0.766568484395969,0.24658647132205516,0.766568484395969,nominal,nominal,false
33.17,0.7539141388132127,0.2566470473695979,0.7539141388132127,nominal,nominal,false
33.27,0.7380409502526994,0.28045717096709505,0.7380409502526994,nominal,nominal,false
33.37,0.7229317897655687,0.29691007503663636,0.7229317897655687,nominal,nominal,false
33.47,0.7141147384514164,0.2961712660943594,0.7141147384514164,nominal,nominal,false
33.57,0.7048530133243316,0.30806060667241986,0.7048530133243316,nominal,nominal,false
33.67,0.7076641783014437,0.283203850539427,0.7076641783014437,nominal,nominal,false
33.77,0.7071000364570789,0.2898171520508778,0.7071000364570789,nominal,nominal,false
33.87,0.7120144197776865,0.2744643465479796,0.7120144197776865,nominal,nominal,false
33.97,0.7151783817911888,0.2738409807703717,0.7151783817911888,nominal,nominal,false
34.07,0.7318609179125384,0.23212026642565556,0.7318609179125384,nominal,nominal,false
34.17,0.7504894052575388,0.20872788660222485,0.7504894052575388,nominal,nominal,false
34.27,0.7709964688023301,0.18412469131006873,0.7709964688023301,nominal,nominal,false
